κ,h,K_gain,shock,variable,period,value
0.06,0.0,0.2,ε_ν,π,2,-0.08744829706312908
0.06,0.0,0.2,ε_ν,π,3,-0.06918445193300866
0.06,0.0,0.2,ε_ν,π,4,-0.051632572893853965
0.06,0.0,0.2,ε_ν,π,5,-0.037277218755038234
0.06,0.0,0.2,ε_ν,π,6,-0.02637832009738189
0.06,0.0,0.2,ε_ν,π,7,-0.018425593801501546
0.06,0.0,0.2,ε_ν,π,8,-0.01275365975764661
0.06,0.0,0.2,ε_ν,π,9,-0.008765181742447304
0.06,0.0,0.2,ε_ν,π,10,-0.005987513530943884
0.06,0.0,0.2,ε_ν,π,11,-0.004067536239480482
0.06,0.0,0.2,ε_ν,π,12,-0.0027489995080991593
0.06,0.0,0.2,ε_ν,π,13,-0.001848923876351873
0.06,0.0,0.2,ε_ν,π,14,-0.0012379925039375328
0.06,0.0,0.2,ε_ν,π,15,-0.000825545412554732
0.06,0.0,0.2,ε_ν,ygap,0,-0.07537445160304687
0.06,0.0,0.2,ε_ν,ygap,1,-0.053365413462323354
0.06,0.0,0.2,ε_ν,ygap,2,-0.03606461590688431
0.06,0.0,0.2,ε_ν,ygap,3,-0.023941917344949812
0.06,0.0,0.2,ε_ν,ygap,4,-0.01586963194626393
0.06,0.0,0.2,ε_ν,ygap,5,-0.010587008627221587
0.06,0.0,0.2,ε_ν,ygap,6,-0.007122746110870357
0.06,0.0,0.2,ε_ν,ygap,7,-0.004824357649062777
0.06,0.0,0.2,ε_ν,ygap,8,-0.003278691504760532
0.06,0.0,0.2,ε_ν,ygap,9,-0.0022282007539046037
0.06,0.0,0.2,ε_ν,ygap,10,-0.0015102591428421887
0.06,0.0,0.2,ε_ν,ygap,11,-0.0010192318827570018
0.06,0.0,0.2,ε_ν,ygap,12,-0.0006843687493858646
0.06,0.0,0.2,ε_ν,ygap,13,-0.0004571595936407833
0.06,0.0,0.2,ε_ν,ygap,14,-0.00030392111700526905
0.06,0.0,0.2,ε_ν,ygap,15,-0.00020119903571038321
0.06,0.0,0.2,ε_att,i,0,-3.8429914204675724
0.06,0.0,0.2,ε_att,i,1,-6.8841986004287214
0.06,0.0,0.2,ε_att,i,2,-8.233143890283493
0.06,0.0,0.2,ε_att,i,3,-8.2575775611409
0.06,0.0,0.2,ε_att,i,4,-7.5342849508835075
0.06,0.0,0.2,ε_att,i,5,-6.508329649987342
0.06,0.0,0.2,ε_att,i,6,-5.444668799996722
0.06,0.0,0.2,ε_att,i,7,-4.471656136839789
0.06,0.0,0.2,ε_att,i,8,-3.635256011087959
0.06,0.0,0.2,ε_att,i,9,-2.93935957551159
0.06,0.0,0.2,ε_att,i,10,-2.370041742339486
0.06,0.0,0.2,ε_att,i,11,-1.9081309332522247
0.06,0.0,0.2,ε_att,i,12,-1.5348164111658527
0.06,0.0,0.2,ε_att,i,13,-1.2336540924488362
0.06,0.0,0.2,ε_att,i,14,-0.9909453445593812
0.06,0.0,0.2,ε_att,i,15,-0.7954999417338333
0.06,0.0,0.2,ε_att,π,0,-0.5079777771918061
0.06,0.0,0.2,ε_att,π,1,-0.6307970729549538
0.06,0.0,0.2,ε_att,π,2,-0.602938287901847
0.06,0.0,0.2,ε_att,π,3,-0.5285186195286037
0.06,0.0,0.2,ε_att,π,4,-0.44825557730833404
0.06,0.0,0.2,ε_att,π,5,-0.37532317636136703
0.06,0.0,0.2,ε_att,π,6,-0.3124252533414314
0.06,0.0,0.2,ε_att,π,7,-0.25899743919926127
0.06,0.0,0.2,ε_att,π,8,-0.21381660890553295
0.06,0.0,0.2,ε_att,π,9,-0.17573945070533736
0.06,0.0,0.2,ε_att,π,10,-0.14380570706701104
0.06,0.0,0.2,ε_att,π,11,-0.11719013345870319
0.06,0.0,0.2,ε_att,π,12,-0.0951546127258492
0.06,0.0,0.2,ε_att,π,13,-0.07702701503043197
0.06,0.0,0.2,ε_att,π,14,-0.06219812995643689
0.06,0.0,0.2,ε_att,π,15,-0.0501248340326712
0.06,0.0,0.2,ε_att,ygap,0,-0.3760804756865833
0.06,0.0,0.2,ε_att,ygap,1,-0.25681112165252057
0.06,0.0,0.2,ε_att,ygap,2,-0.17491853568134588
0.06,0.0,0.2,ε_att,ygap,3,-0.12512031970202983
0.06,0.0,0.2,ε_att,ygap,4,-0.09563220098635535
0.06,0.0,0.2,ε_att,ygap,5,-0.07714425640484858
0.06,0.0,0.2,ε_att,ygap,6,-0.06412123956936411
0.06,0.0,0.2,ε_att,ygap,7,-0.05381856776951592
0.06,0.0,0.2,ε_att,ygap,8,-0.04508097691153057
0.06,0.0,0.2,ε_att,ygap,9,-0.037498674346075754
0.06,0.0,0.2,ε_att,ygap,10,-0.030940843334438858
0.06,0.0,0.2,ε_att,ygap,11,-0.025343727393157888
0.06,0.0,0.2,ε_att,ygap,12,-0.020636383544217804
0.06,0.0,0.2,ε_att,ygap,13,-0.01672779389826832
0.06,0.0,0.2,ε_att,ygap,14,-0.013514802333647435
0.06,0.0,0.2,ε_att,ygap,15,-0.010893047271073437
0.06,0.0,0.3,ε_rn,i,0,10.754982788737733
0.06,0.0,0.3,ε_rn,i,1,18.543061231737706
0.06,0.0,0.3,ε_rn,i,2,21.3205201880248
0.06,0.0,0.3,ε_rn,i,3,20.56117363266865
0.06,0.0,0.3,ε_rn,i,4,18.06749352778138
0.06,0.0,0.3,ε_rn,i,5,15.07734673639052
0.06,0.0,0.3,ε_rn,i,6,12.237347203745747
0.06,0.0,0.3,ε_rn,i,7,9.79946799083438
0.06,0.0,0.3,ε_rn,i,8,7.806844691621285
0.06,0.0,0.3,ε_rn,i,9,6.214264789518453
0.06,0.0,0.3,ε_rn,i,10,4.951590640695936
0.06,0.0,0.3,ε_rn,i,11,3.9512229105735748
0.06,0.0,0.3,ε_rn,i,12,3.1568935322345837
0.06,0.0,0.3,ε_rn,i,13,2.524379917108348
0.06,0.0,0.3,ε_rn,i,14,2.0195413430598586
0.06,0.0,0.3,ε_rn,i,15,1.6159846336031018
0.06,0.0,0.3,ε_rn,π,0,0.6053174683326568
0.06,0.0,0.3,ε_rn,π,1,0.5963522793565919
0.06,0.0,0.3,ε_rn,π,2,0.43712220817149017
0.06,0.0,0.3,ε_rn,π,3,0.2895737197268572
0.06,0.0,0.3,ε_rn,π,4,0.18892683244674685
