h,rho_att,i0_bp,icum8_bp
0.9,0.95,-2.3870135450461083,-244.22665091553853
0.95,0.0,14.08607174672932,26.417265027487723
0.95,0.05,14.031444683805216,27.443765924656383
0.95,0.1,13.970229910153467,28.5445207867289
0.95,0.15,13.901207538812724,29.725402692031295
0.95,0.2,13.822846247380808,30.991680541212887
0.95,0.25,13.733199712169927,32.346929529565436
0.95,0.3,13.629759690818307,33.791032836649315
0.95,0.35,13.509243410225363,35.316620573466075
0.95,0.4,13.367278943978386,36.90284356881442
0.95,0.45,13.197927789103217,38.50459240113465
0.95,0.5,12.992939445017354,40.03384069070159
0.95,0.55,12.74054893447033,41.32708237072072
0.95,0.6,12.423462400221107,42.087463583096486
0.95,0.65,12.015330227913141,41.77898886345513
0.95,0.7,11.474240188491745,39.425222461482115
0.95,0.75,10.729930787954835,33.20511846202408
0.95,0.8,9.65663717170629,19.58194604676207
0.95,0.85,8.009503345874123,-8.757525774869151
0.95,0.9,5.255491923844013,-68.42431945195929
0.95,0.95,0.03935018434272977,-202.87341005060117
