regime,K_gain,A,ρ_att,raw_payoff_bp,p_det,expected_utility_bp
Naive Fed (K=1.00),1.0,1.0,0.35,-10.252968123361468,0.2615869270302503,-7.5709256990322285
Naive Fed (K=1.00),1.0,1.0,0.4,-9.070337816595483,0.2928932188134524,-6.41369737776745
Naive Fed (K=1.00),1.0,1.0,0.45,-7.34090326286049,0.32287222653155356,-4.970729481627977
Naive Fed (K=1.00),1.0,1.0,0.5,-4.818812118442738,0.3515802226744952,-3.124613080814084
Naive Fed (K=1.00),1.0,1.0,0.55,-1.1285269350131775,0.379071093963258,-0.7007349951907297
Naive Fed (K=1.00),1.0,1.0,0.6,4.314059895294791,0.4053964424986395,2.565155361016229
Naive Fed (K=1.00),1.0,1.0,0.65,12.436312881675638,0.4306056826216541,7.081165883965229
Naive Fed (K=1.00),1.0,1.0,0.7,24.747354864890657,0.45474613366737104,13.493590921587225
Naive Fed (K=1.00),1.0,1.0,0.75,43.78062039176992,0.477863108786293,22.859477026766175
Naive Fed (K=1.00),1.0,1.0,0.8,73.96605900297851,0.5,36.983029501489256
Naive Fed (K=1.00),1.0,1.0,0.85,123.49001634167831,0.521198359650713,59.127222391155826
Naive Fed (K=1.00),1.0,1.0,0.9,208.7032555052537,0.5414979783976643,95.69086456414762
Naive Fed (K=1.00),1.0,1.0,0.95,366.23453374124216,0.5609369599066751,160.80004777159115
Naive Fed (K=1.00),1.0,1.1,0.0,-13.355551867445802,0.0,-13.355551867445802
Naive Fed (K=1.00),1.0,1.1,0.05,-13.410224386739488,0.051069061111600034,-12.725376818012819
Naive Fed (K=1.00),1.0,1.1,0.1,-13.402335316087594,0.09953007322037988,-12.068399900753313
Naive Fed (K=1.00),1.0,1.1,0.15,-13.309715663903784,0.14551622694024624,-11.372936058845012
Naive Fed (K=1.00),1.0,1.1,0.2,-13.10212123763421,0.1891539109655055,-10.62380376359149
Naive Fed (K=1.00),1.0,1.1,0.25,-12.737719334153384,0.23056305943850997,-9.80087179420192
Naive Fed (K=1.00),1.0,1.1,0.3,-12.157744039979795,0.2698574815775673,-8.876885851686168
Naive Fed (K=1.00),1.0,1.1,0.35,-11.278264935697614,0.30714517447106016,-7.81420028429193
Naive Fed (K=1.00),1.0,1.1,0.4,-9.977371598255028,0.34252861989746464,-6.559836274500572
Naive Fed (K=1.00),1.0,1.1,0.45,-8.074993589146535,0.37610506598704907,-5.03794759245558
Naive Fed (K=1.00),1.0,1.1,0.5,-5.300693330287017,0.4079667944993741,-3.1381864637056105
Naive Fed (K=1.00),1.0,1.1,0.55,-1.2413796285144896,0.4382013744511821,-0.6974053690837424
Naive Fed (K=1.00),1.0,1.1,0.6,4.7454658848242675,0.4668919027917475,2.5298462882253414
Naive Fed (K=1.00),1.0,1.1,0.65,13.679944169843205,0.4941172327871647,6.920448011957374
Naive Fed (K=1.00),1.0,1.1,0.7,27.22209035137972,0.5199521907412623,13.067904836623255
Naive Fed (K=1.00),1.0,1.1,0.75,48.158682430946904,0.5444677816487866,21.93783144064085
Naive Fed (K=1.00),1.0,1.1,0.8,81.36266490327637,0.5677313843460674,35.17052652365408
Naive Fed (K=1.00),1.0,1.1,0.85,135.83901797584613,0.5898069366955249,55.72022289978399
Naive Fed (K=1.00),1.0,1.1,0.9,229.57358105577907,0.6107551113129756,89.3603430035383
Naive Fed (K=1.00),1.0,1.1,0.95,402.8579871153665,0.6306334823207111,148.80225182009073
Naive Fed (K=1.00),1.0,1.2,0.0,-14.569692946304514,0.0,-14.569692946304514
Naive Fed (K=1.00),1.0,1.2,0.05,-14.629335694624896,0.0604772507859882,-13.744593690988657
Naive Fed (K=1.00),1.0,1.2,0.1,-14.62072943573192,0.11729700370934515,-12.90576168087554
Naive Fed (K=1.00),1.0,1.2,0.15,-14.519689815167768,0.17068045418555822,-12.04146256288151
Naive Fed (K=1.00),1.0,1.2,0.2,-14.293223168328224,0.2208354203395001,-11.136773221944178
Naive Fed (K=1.00),1.0,1.2,0.25,-13.895693819076419,0.2679571520271873,-10.172243277874912
Naive Fed (K=1.00),1.0,1.2,0.3,-13.262993498159776,0.3122290909301281,-9.12190109521715
Naive Fed (K=1.00),1.0,1.2,0.35,-12.30356174803376,0.35382358468125374,-7.950271425997302
Naive Fed (K=1.00),1.0,1.2,0.4,-10.884405379914575,0.3929025578024765,-6.607894665987103
Naive Fed (K=1.00),1.0,1.2,0.45,-8.809083915432588,0.4296181420657881,-5.0245416503828215
Naive Fed (K=1.00),1.0,1.2,0.5,-5.7825745421312895,0.4641132687318533,-3.0988049696971367
Naive Fed (K=1.00),1.0,1.2,0.55,-1.3542323220158026,0.49652222497164056,-0.681825876360005
Naive Fed (K=1.00),1.0,1.2,0.6,5.176871874353751,0.5269711766372019,2.448809611425518
Naive Fed (K=1.00),1.0,1.2,0.65,14.923575458010765,0.5555786594167149,6.632355411344957
Naive Fed (K=1.00),1.0,1.2,0.7,29.696825837868776,0.5824560402858152,12.399730251286242
Naive Fed (K=1.00),1.0,1.2,0.75,52.53674447012389,0.6077079510516246,20.609747133262136
